Title,Domestic,International,Budget,Distributor,MPAA-Rating,Runtime,Genres
Jurassic World (2015),652270625,1018130012,150000000.0,Universal Pictures,PG-13,124,Action;Adventure;Sci-Fi
Star Wars: Episode VII - The Force Awakens (2015),936662225,1131561399,245000000.0,Walt Disney Studios Motion Pictures,PG-13,138,Action;Adventure;Sci-Fi
Avengers: Age of Ultron (2015),459005868,943800000,250000000.0,Walt Disney Studios Motion Pictures,PG-13,141,Action;Adventure;Sci-Fi
Inside Out (2015),356461711,501149463,175000000.0,Walt Disney Studios Motion Pictures,PG,95,Adventure;Animation;Comedy;Drama;Family;Fantasy
Furious 7 (2015),353007020,1162040651,190000000.0,Universal Pictures,PG-13,137,Action;Adventure;Thriller
American Sniper (2014),350126372,197300000,58800000.0,Warner Bros.,R,133,Action;Biography;Drama;War
Minions (2015),336045770,823352627,74000000.0,Universal Pictures,PG,91,Adventure;Animation;Comedy;Family;Sci-Fi
The Hunger Games: Mockingjay - Part 2 (2015),281723902,376620235,160000000.0,Lionsgate,PG-13,137,Action;Adventure;Sci-Fi;Thriller
The Martian (2015),228433663,401728227,108000000.0,Twentieth Century Fox,PG-13,144,Adventure;Drama;Sci-Fi
Cinderella (2015),201151353,341200000,95000000.0,Walt Disney Studios Motion Pictures,PG,105,Drama;Family;Fantasy;Romance
How the Grinch Stole Christmas (2000),260044825,85096578,123000000.0,Universal Pictures,PG,104,Comedy;Family;Fantasy
Mission: Impossible II (2000),215409889,330978219,125000000.0,Paramount Pictures,PG-13,123,Action;Adventure;Thriller
Gladiator (2000),187705427,272878533,103000000.0,DreamWorks Distribution,R,155,Action;Adventure;Drama
The Perfect Storm (2000),182618434,146100000,140000000.0,Warner Bros.,PG-13,130,Action;Adventure;Drama;Thriller
Meet the Parents (2000),166244045,164200000,55000000.0,Universal Pictures,PG-13,108,Comedy;Romance
X-Men (2000),157299718,139039810,75000000.0,Twentieth Century Fox,PG-13,104,Action;Adventure;Sci-Fi
Scary Movie (2000),157019771,121000000,19000000.0,Miramax,R,88,Comedy
What Lies Beneath (2000),155464351,135956000,100000000.0,DreamWorks Distribution,PG-13,130,Drama;Horror;Mystery;Thriller
Erin Brockovich (2000),125595205,130676081,52000000.0,Universal Pictures,R,131,Biography;Drama
Harry Potter and the Sorcerer's Stone (2001),317575550,657179821,125000000.0,Warner Bros.,PG,152,Adventure;Family;Fantasy
Shrek (2001),267665011,216744207,60000000.0,DreamWorks Distribution,PG,90,Adventure;Animation;Comedy;Family;Fantasy
"Monsters, Inc. (2001)",255873250,272900000,115000000.0,Walt Disney Studios Motion Pictures,G,92,Adventure;Animation;Comedy;Family;Fantasy
Rush Hour 2 (2001),226164286,121161516,90000000.0,New Line Cinema,PG-13,90,Action;Comedy;Crime;Thriller
